2081	Friedrich Schiller	Jena	1795-12-10	August Wilhelm von Schlegel	Braunschweig
2056	August Wilhelm von Schlegel	Amsterdam	1795-06-04	Friedrich Schiller	Jena
3403	August Wilhelm von Schlegel	Jena	1798-02-19	Johann Wolfgang von Goethe	Weimar
3405	August Wilhelm von Schlegel	Berlin	1798-06-10	Johann Wolfgang von Goethe	Weimar
2083	Friedrich Schiller	Jena	1796-01-31	August Wilhelm von Schlegel	Braunschweig
2082	Friedrich Schiller	Jena	1796-01-09	August Wilhelm von Schlegel	Braunschweig
2057	August Wilhelm von Schlegel	Braunschweig	1795-08-06	Friedrich Schiller	Jena
3404	August Wilhelm von Schlegel	Jena	1798-05-09	Johann Wolfgang von Goethe	Weimar
3391	Johann Wolfgang von Goethe	Weimar	1803-09-05	August Wilhelm von Schlegel	Berlin
3367	Johann Wolfgang von Goethe	Weimar	1798-02-24	August Wilhelm von Schlegel	Jena
3406	August Wilhelm von Schlegel	Berlin	1798-06-20	Johann Wolfgang von Goethe	Weimar
3417	Johann Wolfgang von Goethe	Jena	1799-03-26	August Wilhelm von Schlegel	Jena
2084	Friedrich Schiller	Jena	1796-02-29	August Wilhelm von Schlegel	Braunschweig
3401	August Wilhelm von Schlegel	Jena	1797-07-16	Johann Wolfgang von Goethe	Weimar
3363	Johann Wolfgang von Goethe	Jena	1797-06-14	August Wilhelm von Schlegel	Jena
3382	Johann Wolfgang von Goethe	Weimar	1800-05-31	August Wilhelm von Schlegel	Jena
2060	August Wilhelm von Schlegel	Braunschweig	[ca. 18.] Dezember 1795	Friedrich Schiller	Jena
3372	Johann Wolfgang von Goethe	Weimar	1798-12-15	August Wilhelm von Schlegel	Jena
2061	August Wilhelm von Schlegel	Braunschweig	1796-01-19	Friedrich Schiller	Jena
2069	August Wilhelm von Schlegel	Jena	1797-06-14	Johann Wolfgang von Goethe	Jena
2077	Friedrich Schiller	Jena	1795-06-12	August Wilhelm von Schlegel	Amsterdam
2085	Friedrich Schiller	Jena	[11. MÃ¤rz 1796]	August Wilhelm von Schlegel	Braunschweig
2058	August Wilhelm von Schlegel	Braunschweig	[ca. 13.] Oktober 1795	Friedrich Schiller	Braunschweig
2059	August Wilhelm von Schlegel	Braunschweig	1795-11-09	Friedrich Schiller	Braunschweig
